HNodes, LRate, Epochs, Error, Diff, STime, ETime
5,1.0e-3,3,0.1032,0.126407s,2018-03-07 09:08:33.150903 UTC,2018-03-07 09:08:33.27731 UTC
5,1.0e-3,5,0.101,0.099459s,2018-03-07 09:08:37.78276 UTC,2018-03-07 09:08:37.882219 UTC
5,1.0e-3,8,0.1135,0.144957s,2018-03-07 09:08:45.089552 UTC,2018-03-07 09:08:45.234509 UTC
5,1.0e-3,13,9.8e-2,0.087737s,2018-03-07 09:08:57.217156 UTC,2018-03-07 09:08:57.304893 UTC
5,1.0e-2,3,9.8e-2,0.088603s,2018-03-07 09:09:16.547015 UTC,2018-03-07 09:09:16.635618 UTC
5,1.0e-2,5,9.8e-2,0.084422s,2018-03-07 09:09:21.032295 UTC,2018-03-07 09:09:21.116717 UTC
5,1.0e-2,8,0.1032,0.086075s,2018-03-07 09:09:28.166505 UTC,2018-03-07 09:09:28.25258 UTC
5,1.0e-2,13,9.8e-2,0.090918s,2018-03-07 09:09:39.973355 UTC,2018-03-07 09:09:40.064273 UTC
5,0.1,3,9.8e-2,0.073384s,2018-03-07 09:09:59.155437 UTC,2018-03-07 09:09:59.228821 UTC
5,0.1,5,0.1135,0.087424s,2018-03-07 09:10:03.654972 UTC,2018-03-07 09:10:03.742396 UTC
5,0.1,8,9.82e-2,0.084052s,2018-03-07 09:10:10.934897 UTC,2018-03-07 09:10:11.018949 UTC
5,0.1,13,9.8e-2,0.089101s,2018-03-07 09:10:23.324747 UTC,2018-03-07 09:10:23.413848 UTC
10,1.0e-3,3,9.82e-2,0.108732s,2018-03-07 09:10:42.893394 UTC,2018-03-07 09:10:43.002126 UTC
10,1.0e-3,5,9.8e-2,0.084494s,2018-03-07 09:10:49.512951 UTC,2018-03-07 09:10:49.597445 UTC
10,1.0e-3,8,0.101,0.093186s,2018-03-07 09:11:00.263042 UTC,2018-03-07 09:11:00.356228 UTC
10,1.0e-3,13,9.8e-2,0.089558s,2018-03-07 09:11:17.411783 UTC,2018-03-07 09:11:17.501341 UTC
10,1.0e-2,3,9.8e-2,0.088368s,2018-03-07 09:11:45.228069 UTC,2018-03-07 09:11:45.316437 UTC
10,1.0e-2,5,9.74e-2,0.088838s,2018-03-07 09:11:51.591111 UTC,2018-03-07 09:11:51.679949 UTC
10,1.0e-2,8,0.1032,0.088728s,2018-03-07 09:12:02.078161 UTC,2018-03-07 09:12:02.166889 UTC
10,1.0e-2,13,9.82e-2,0.085227s,2018-03-07 09:12:19.494431 UTC,2018-03-07 09:12:19.579658 UTC
10,0.1,3,9.8e-2,0.088429s,2018-03-07 09:12:46.549737 UTC,2018-03-07 09:12:46.638166 UTC
10,0.1,5,8.92e-2,0.087765s,2018-03-07 09:12:52.932011 UTC,2018-03-07 09:12:53.019776 UTC
10,0.1,8,8.92e-2,0.098631s,2018-03-07 09:13:03.136161 UTC,2018-03-07 09:13:03.234792 UTC
10,0.1,13,9.58e-2,0.083158s,2018-03-07 09:13:20.389323 UTC,2018-03-07 09:13:20.472481 UTC
20,1.0e-3,3,0.1009,0.117169s,2018-03-07 09:13:50.963238 UTC,2018-03-07 09:13:51.080407 UTC
20,1.0e-3,5,9.8e-2,0.109094s,2018-03-07 09:14:05.954655 UTC,2018-03-07 09:14:06.063749 UTC
20,1.0e-3,8,0.1032,0.093279s,2018-03-07 09:14:30.652224 UTC,2018-03-07 09:14:30.745503 UTC
20,1.0e-3,13,0.0,0.14587s,2018-03-07 09:15:08.742396 UTC,2018-03-07 09:15:08.888266 UTC
----------------------------------
----------------------------------
AWS T1-Micro
5, 1.0e-3, 3, 0.2071, 36.42866s, 2018-03-14 10:48:19.951005 UTC, 2018-03-14 10:48:56.379665 UTC
5, 1.0e-3, 5, 0.1791, 57.320755s, 2018-03-14 10:48:56.578616 UTC, 2018-03-14 10:49:53.899371 UTC
5, 1.0e-3, 8, 0.2886, 96.589828s, 2018-03-14 10:49:54.199874 UTC, 2018-03-14 10:51:30.789702 UTC
5, 1.0e-3, 13, 0.5041, 173.806831s, 2018-03-14 10:51:31.268441 UTC, 2018-03-14 10:54:25.075272 UTC
5, 1.0e-2, 3, 0.5157, 41.045319s, 2018-03-14 10:54:25.871571 UTC, 2018-03-14 10:55:06.91689 UTC
5, 1.0e-2, 5, 0.5975, 70.619098s, 2018-03-14 10:55:07.099441 UTC, 2018-03-14 10:56:17.718539 UTC
5, 1.0e-2, 8, 0.5346, 110.175612s, 2018-03-14 10:56:18.00818 UTC, 2018-03-14 10:58:08.183792 UTC
5, 1.0e-2, 13, 0.391, 162.756604s, 2018-03-14 10:58:08.653537 UTC, 2018-03-14 11:00:51.410141 UTC
5, 0.1, 3, 0.6779, 33.986268s, 2018-03-14 11:00:52.189258 UTC, 2018-03-14 11:01:26.175526 UTC
5, 0.1, 5, 0.7601, 56.93837s, 2018-03-14 11:01:26.305319 UTC, 2018-03-14 11:02:23.243689 UTC
5, 0.1, 8, 0.773, 96.094588s, 2018-03-14 11:02:23.473514 UTC, 2018-03-14 11:03:59.568102 UTC
5, 0.1, 13, 0.7186, 182.991176s, 2018-03-14 11:03:59.985904 UTC, 2018-03-14 11:07:02.97708 UTC
10, 1.0e-3, 3, 0.4026, 43.093987s, 2018-03-14 11:07:03.640852 UTC, 2018-03-14 11:07:46.734839 UTC
10, 1.0e-3, 5, 0.5303, 75.161025s, 2018-03-14 11:07:46.893417 UTC, 2018-03-14 11:09:02.054442 UTC
10, 1.0e-3, 8, 0.5674, 107.689669s, 2018-03-14 11:09:02.3005 UTC, 2018-03-14 11:10:49.990169 UTC
10, 1.0e-3, 13, 0.71, 175.867883s, 2018-03-14 11:10:50.391905 UTC, 2018-03-14 11:13:46.259788 UTC
10, 1.0e-2, 3, 0.7932, 38.88221s, 2018-03-14 11:13:46.940467 UTC, 2018-03-14 11:14:25.822677 UTC
10, 1.0e-2, 5, 0.8645, 63.178562s, 2018-03-14 11:14:25.970158 UTC, 2018-03-14 11:15:29.14872 UTC
10, 1.0e-2, 8, 0.8768, 104.614444s, 2018-03-14 11:15:29.364166 UTC, 2018-03-14 11:17:13.97861 UTC
5, 1.0e-3, 3, 0.112, 36.345258s, 2018-03-14 21:50:15.143319 UTC, 2018-03-14 21:50:51.488577 UTC
5, 1.0e-3, 5, 0.2853, 60.88348s, 2018-03-14 21:50:51.686452 UTC, 2018-03-14 21:51:52.569932 UTC
5, 1.0e-3, 8, 0.2858, 99.491046s, 2018-03-14 21:51:52.855929 UTC, 2018-03-14 21:53:32.346975 UTC
5, 1.0e-3, 13, 0.3522, 164.591167s, 2018-03-14 21:53:32.820373 UTC, 2018-03-14 21:56:17.41154 UTC
5, 1.0e-2, 3, 0.3862, 36.526512s, 2018-03-14 21:56:18.040882 UTC, 2018-03-14 21:56:54.567394 UTC
5, 1.0e-2, 5, 0.5864, 58.834435s, 2018-03-14 21:56:54.705915 UTC, 2018-03-14 21:57:53.54035 UTC
5, 1.0e-2, 8, 0.6844, 99.865336s, 2018-03-14 21:57:53.759317 UTC, 2018-03-14 21:59:33.624653 UTC
5, 1.0e-2, 13, 0.6491, 164.012051s, 2018-03-14 21:59:34.069156 UTC, 2018-03-14 22:02:18.081207 UTC
5, 0.1, 3, 0.4771, 35.320691s, 2018-03-14 22:02:18.842156 UTC, 2018-03-14 22:02:54.162847 UTC
5, 0.1, 5, 0.3955, 59.625715s, 2018-03-14 22:02:54.309512 UTC, 2018-03-14 22:03:53.935227 UTC
5, 0.1, 8, 0.6712, 94.914067s, 2018-03-14 22:03:54.184439 UTC, 2018-03-14 22:05:29.098506 UTC
5, 0.1, 13, 0.3873, 160.319281s, 2018-03-14 22:05:29.502788 UTC, 2018-03-14 22:08:09.822069 UTC
10, 1.0e-3, 3, 0.5169, 36.132881s, 2018-03-14 22:08:10.506748 UTC, 2018-03-14 22:08:46.639629 UTC
10, 1.0e-3, 5, 0.511, 60.772989s, 2018-03-14 22:08:46.766752 UTC, 2018-03-14 22:09:47.539741 UTC
10, 1.0e-3, 8, 0.5908, 97.089092s, 2018-03-14 22:09:47.754968 UTC, 2018-03-14 22:11:24.84406 UTC
10, 1.0e-3, 13, 0.6626, 205.228677s, 2018-03-14 22:11:25.214909 UTC, 2018-03-14 22:14:50.443586 UTC
10, 1.0e-2, 3, 0.8453, 44.872902s, 2018-03-14 22:14:51.380775 UTC, 2018-03-14 22:15:36.253677 UTC
10, 1.0e-2, 5, 0.7754, 76.584111s, 2018-03-14 22:15:36.430233 UTC, 2018-03-14 22:16:53.014344 UTC
10, 1.0e-2, 8, 0.8729, 99.747103s, 2018-03-14 22:16:53.285822 UTC, 2018-03-14 22:18:33.032925 UTC
10, 1.0e-2, 13, 0.8622, 168.346528s, 2018-03-14 22:18:33.395373 UTC, 2018-03-14 22:21:21.741901 UTC
10, 0.1, 3, 0.8593, 36.098013s, 2018-03-14 22:21:22.451505 UTC, 2018-03-14 22:21:58.549518 UTC
10, 0.1, 5, 0.8839, 62.334011s, 2018-03-14 22:21:58.685436 UTC, 2018-03-14 22:23:01.019447 UTC
10, 0.1, 8, 0.8916, 96.826571s, 2018-03-14 22:23:01.238519 UTC, 2018-03-14 22:24:38.06509 UTC
10, 0.1, 13, 0.8951, 162.316749s, 2018-03-14 22:24:38.395665 UTC, 2018-03-14 22:27:20.712414 UTC
20, 1.0e-3, 3, 0.5826, 43.583734s, 2018-03-14 22:27:21.380565 UTC, 2018-03-14 22:28:04.964299 UTC
20, 1.0e-3, 5, 0.7371, 72.606075s, 2018-03-14 22:28:05.136534 UTC, 2018-03-14 22:29:17.742609 UTC
20, 1.0e-3, 8, 0.8234, 121.999174s, 2018-03-14 22:29:17.985111 UTC, 2018-03-14 22:31:19.984285 UTC
20, 1.0e-3, 13, 0.8488, 258.968662s, 2018-03-14 22:31:20.517582 UTC, 2018-03-14 22:35:39.486244 UTC
20, 1.0e-2, 3, 0.8855, 49.825825s, 2018-03-14 22:35:40.209535 UTC, 2018-03-14 22:36:30.03536 UTC
20, 1.0e-2, 5, 0.8943, 79.90659s, 2018-03-14 22:36:30.256607 UTC, 2018-03-14 22:37:50.163197 UTC
20, 1.0e-2, 8, 0.9122, 127.449322s, 2018-03-14 22:37:50.513908 UTC, 2018-03-14 22:39:57.96323 UTC
20, 1.0e-2, 13, 0.9222, 235.99043s, 2018-03-14 22:39:58.517581 UTC, 2018-03-14 22:43:54.508011 UTC
20, 0.1, 3, 0.9048, 47.2592s, 2018-03-14 22:43:55.320683 UTC, 2018-03-14 22:44:42.579883 UTC
20, 0.1, 5, 0.931, 78.382562s, 2018-03-14 22:44:42.774937 UTC, 2018-03-14 22:46:01.157499 UTC
20, 0.1, 8, 0.9336, 126.43101s, 2018-03-14 22:46:01.4552 UTC, 2018-03-14 22:48:07.88621 UTC
20, 0.1, 13, 0.9223, 249.656655s, 2018-03-14 22:48:08.492896 UTC, 2018-03-14 22:52:18.149551 UTC
50, 1.0e-3, 3, 0.7689, 73.282263s, 2018-03-14 22:52:19.028942 UTC, 2018-03-14 22:53:32.311205 UTC
50, 1.0e-3, 5, 0.8228, 123.927528s, 2018-03-14 22:53:32.594053 UTC, 2018-03-14 22:55:36.521581 UTC
50, 1.0e-3, 8, 0.8578, 194.242241s, 2018-03-14 22:55:36.98554 UTC, 2018-03-14 22:58:51.227781 UTC
